"Código","Nombre","Categoria","Unid / Frac.","Stock Actual","Stock Minimo","Costo","Precio","Valor Stock Actual","Valor Stock Custo","Valor vendido","Cantidad Vendida","Ganancia"
"LD01","Leggins deportivo ","ROPA DEPORTIVA","unidad","1",0,"8","18","18","8",0,0,0
"LD30","Leggins deportivo","ROPA DEPORTIVA","unidad","1",0,"8","18","18","8",0,0,0
"LD03","Leggins deportivo","ROPA DEPORTIVA","unidad","2",0,"8","18","36","16",0,0,0
"LD05","Leggins deportivo","ROPA DEPORTIVA","unidad","3",0,"8","18","54","24",0,0,0
"LD02","Leggins deportivo","ROPA DEPORTIVA","unidad","2",0,"8","18","36","16",0,0,0
"LD06","Leggins deportivo","ROPA DEPORTIVA","unidad","1",0,"8","18","18","8",0,0,0
"LD07","Leggins deportivo ","ROPA DEPORTIVA","unidad","1",0,"8","18","18","8",0,0,0
"LD08","Leggins deportivo","ROPA DEPORTIVA","unidad","1",0,"8","18","18","8",0,0,0
"LD09","Leggins deportivo","ROPA DEPORTIVA","unidad","1",0,"8","18","18","8",0,0,0
"LD10","Leggins deportivo","ROPA DEPORTIVA","unidad","2",0,"8","18","36","16",0,0,0
"LD11","Leggins deportivo","ROPA DEPORTIVA","unidad","0",0,"8","18","0","0",0,0,0
"LD12","Leggins deportivo","ROPA DEPORTIVA","unidad","1",0,"8","18","18","8",0,0,0
"LD13","Leggins deportivo ","ROPA DEPORTIVA","unidad","0",0,"8","18","0","0","18","1","10"
"LD14","Leggins deportivo ","ROPA DEPORTIVA","unidad","1",0,"8","18","18","8",0,0,0
"LD15","Leggins deportivo","ROPA DEPORTIVA","unidad","0",0,"8","18","0","0",0,0,0
"LD16","Leggins deportivo","ROPA DEPORTIVA","unidad","0",0,"8","18","0","0","18","1","10"
"LD17","Leggins deportivo","ROPA DEPORTIVA","unidad","1",0,"8","18","18","8",0,0,0
"LD18","Leggins deportivo","ROPA DEPORTIVA","unidad","1",0,"8","18","18","8",0,0,0
"LD19","Leggins deportivo","ROPA DEPORTIVA","unidad","0",0,"8","18","0","0","18","1","10"
"LD20","Leggins deportivo","ROPA DEPORTIVA","unidad","1",0,"8","18","18","8",0,0,0
"LD21","Leggins deportivo","ROPA DEPORTIVA","unidad","2",0,"8","18","36","16",0,0,0
"LD22","Leggins deportivo","ROPA DEPORTIVA","unidad","0",0,"8","18","0","0",0,0,0
"LD23","Leggins deportivo","ROPA DEPORTIVA","unidad","1",0,"8","18","18","8",0,0,0
"LD24","Leggins deportivo","ROPA DEPORTIVA","unidad","1",0,"8","18","18","8",0,0,0
"LD25","Leggins deportivo","ROPA DEPORTIVA","unidad","0",0,"8","18","0","0",0,0,0
"LD26","Leggins deportivo ","ROPA DEPORTIVA","unidad","0",0,"8","18","0","0",0,0,0
"LD27","Leggins deportivo ","ROPA DEPORTIVA","unidad","1",0,"8","18","18","8",0,0,0
"LD28","Leggins deportivo","ROPA DEPORTIVA","unidad","0",0,"8","18","0","0",0,0,0
"LD29","Leggins deportivo ","ROPA DEPORTIVA","unidad","1",0,"8","18","18","8",0,0,0
"SD01","Short deportivo","ROPA DEPORTIVA","unidad","0",0,"8","12","0","0",0,0,0
